building_category,building_code,purpose,kwh_m2
nursing_home,PRE_TEK49,cooling,0.0
university,PRE_TEK49,heating_rv,109.2108353688324
apartment_block,PRE_TEK49,electrical_equipment,17.52
apartment_block,PRE_TEK49,fans_and_pumps,0.5788888888888889
apartment_block,PRE_TEK49,heating_dhw,29.76888888888889
university,PRE_TEK49,heating_dhw,5.011111111111111
university,PRE_TEK49,fans_and_pumps,43.66333333333333
university,PRE_TEK49,electrical_equipment,34.45833333333334
culture,PRE_TEK49,heating_dhw,10.0225
culture,PRE_TEK49,heating_rv,154.5310366796936
university,PRE_TEK49,cooling,25.01861111111111
culture,PRE_TEK49,fans_and_pumps,38.625
culture,PRE_TEK49,electrical_equipment,2.870833333333333
apartment_block,PRE_TEK49,heating_rv,126.739738913315
culture,PRE_TEK49,cooling,20.7325
culture,TEK07,heating_rv,93.95766426477772
school,TEK07,electrical_equipment,12.9
school,TEK07,heating_dhw,9.804166666666667
school,TEK07,heating_rv,66.88335205992513
office,TEK07,heating_rv,54.07084541062803
office,TEK07,heating_dhw,5.011111111111111
office,TEK07,fans_and_pumps,24.325
office,TEK07,electrical_equipment,34.45833333333334
office,TEK07,cooling,18.83305555555556
school,TEK07,cooling,0.0
school,TEK07,fans_and_pumps,25.2275
university,TEK07,fans_and_pumps,30.06333333333334
university,TEK07,electrical_equipment,34.45833333333334
retail,TEK07,cooling,36.46277777777778
retail,TEK07,electrical_equipment,3.744166666666666
retail,TEK07,fans_and_pumps,45.8175
retail,TEK07,heating_dhw,10.48333333333333
retail,TEK07,heating_rv,82.65576765456221
house,TEK07,cooling,0.0
house,TEK07,electrical_equipment,17.51875
house,TEK07,fans_and_pumps,7.925
house,TEK07,heating_dhw,29.78125
house,TEK07,heating_rv,58.72567782120176
culture,TEK07,heating_dhw,10.0225
hotel,TEK07,heating_rv,91.94085735222278
hotel,TEK07,heating_dhw,29.78416666666667
hotel,TEK07,fans_and_pumps,39.26708333333333
hotel,TEK07,electrical_equipment,5.84
hotel,TEK07,cooling,25.5225
university,TEK07,heating_rv,57.49413477718068
university,TEK07,heating_dhw,5.011111111111111
apartment_block,TEK07,heating_dhw,29.76888888888889
university,TEK07,cooling,23.445
sports,TEK07,cooling,0.0
apartment_block,TEK07,heating_rv,39.52794604570375
kindergarten,TEK07,heating_rv,91.60795310210064
apartment_block,TEK07,electrical_equipment,17.52
sports,TEK07,heating_dhw,49.02
sports,TEK07,heating_rv,88.11188843429409
apartment_block,TEK07,cooling,0.0
nursing_home,TEK07,heating_dhw,29.78416666666667
kindergarten,TEK07,cooling,0.0
culture,TEK07,fans_and_pumps,26.82416666666666
kindergarten,TEK07,electrical_equipment,5.22
kindergarten,TEK07,heating_dhw,10.02333333333333
sports,TEK07,electrical_equipment,2.58
storage_repairs,TEK07,electrical_equipment,23.49
storage_repairs,TEK07,cooling,17.6975
culture,TEK07,cooling,19.4325
culture,TEK07,electrical_equipment,2.870833333333333
kindergarten,TEK07,fans_and_pumps,22.88666666666667
hospital,TEK07,cooling,37.52722222222222
sports,TEK07,fans_and_pumps,22.7875
hospital,TEK07,fans_and_pumps,58.16138888888889
hospital,TEK07,heating_dhw,29.76944444444445
storage_repairs,TEK07,fans_and_pumps,25.475
storage_repairs,TEK07,heating_dhw,10.0225
hospital,TEK07,heating_rv,104.6185808500244
apartment_block,TEK07,fans_and_pumps,9.455555555555556
nursing_home,TEK07,heating_rv,90.24859408076856
storage_repairs,TEK07,heating_rv,90.30901848233184
hospital,TEK07,electrical_equipment,46.72
nursing_home,TEK07,cooling,0.0
nursing_home,TEK07,fans_and_pumps,48.56125
nursing_home,TEK07,electrical_equipment,23.36
house,TEK10,fans_and_pumps,7.81405
house,TEK10,electrical_equipment,17.51875
apartment_block,TEK10,heating_rv,38.97455480106385
kindergarten,TEK10,heating_rv,74.22534704119848
kindergarten,TEK10,heating_dhw,10.02333333333333
apartment_block,TEK10,heating_dhw,29.76888888888889
house,TEK10,cooling,0.0
house,TEK10,heating_dhw,29.78125
nursing_home,TEK10,heating_dhw,29.78416666666667
office,TEK10,heating_rv,38.6460915544428
nursing_home,TEK10,heating_rv,91.87306877422212
nursing_home,TEK10,fans_and_pumps,49.4353525
university,TEK10,heating_rv,38.77542232209735
apartment_block,TEK10,cooling,0.0
apartment_block,TEK10,electrical_equipment,17.52
apartment_block,TEK10,fans_and_pumps,9.323177777777778
nursing_home,TEK10,electrical_equipment,23.36
nursing_home,TEK10,cooling,0.0
office,TEK10,cooling,18.83305555555556
office,TEK10,electrical_equipment,34.45833333333334
kindergarten,TEK10,cooling,0.0
kindergarten,TEK10,electrical_equipment,5.22
kindergarten,TEK10,fans_and_pumps,22.46678333333334
office,TEK10,fans_and_pumps,24.24362444444444
office,TEK10,heating_dhw,5.011111111111111
house,TEK10,heating_rv,57.90351833170494
university,TEK10,heating_dhw,5.011111111111111
university,TEK10,cooling,23.445
university,TEK10,electrical_equipment,34.45833333333334
school,TEK10,heating_rv,47.43307238112688
university,TEK10,fans_and_pumps,29.53236416666667
hospital,TEK10,heating_rv,105.4555294968246
hospital,TEK10,heating_dhw,29.76944444444445
hospital,TEK10,fans_and_pumps,58.62668
hospital,TEK10,electrical_equipment,46.72
hospital,TEK10,cooling,37.52722222222222
storage_repairs,TEK10,heating_rv,87.14820283545028
sports,TEK10,cooling,0.0
sports,TEK10,electrical_equipment,2.58
school,TEK10,heating_dhw,9.804166666666667
sports,TEK10,fans_and_pumps,22.1743375
sports,TEK10,heating_rv,68.92229558500244
storage_repairs,TEK10,heating_dhw,10.0225
storage_repairs,TEK10,cooling,17.6975
storage_repairs,TEK10,electrical_equipment,23.49
storage_repairs,TEK10,fans_and_pumps,24.583375
culture,TEK10,heating_rv,75.98468861891389
culture,TEK10,heating_dhw,10.0225
culture,TEK10,fans_and_pumps,26.35643791666666
culture,TEK10,electrical_equipment,2.870833333333333
culture,TEK10,cooling,19.4325
sports,TEK10,heating_dhw,49.02
school,TEK10,fans_and_pumps,24.65164333333333
school,TEK10,cooling,0.0
hotel,TEK10,cooling,25.5225
school,TEK10,electrical_equipment,12.9
retail,TEK10,fans_and_pumps,43.70906666666666
retail,TEK10,electrical_equipment,3.743888888888889
hotel,TEK10,heating_rv,67.75243318738802
retail,TEK10,heating_rv,54.57732603810455
hotel,TEK10,heating_dhw,29.78416666666667
retail,TEK10,cooling,36.46277777777778
retail,TEK10,heating_dhw,10.48333333333333
hotel,TEK10,electrical_equipment,5.84
hotel,TEK10,fans_and_pumps,37.82581666666667
office,TEK17,cooling,15.44310555555556
university,TEK17,cooling,19.2249
sports,TEK17,cooling,0.0
office,TEK17,heating_rv,25.89288134147665
office,TEK17,electrical_equipment,34.45833333333334
university,TEK17,electrical_equipment,34.45833333333334
sports,TEK17,heating_dhw,49.02
sports,TEK17,heating_rv,54.79322499007694
office,TEK17,heating_dhw,5.011111111111111
university,TEK17,heating_dhw,5.011111111111111
university,TEK17,fans_and_pumps,19.49136035
office,TEK17,fans_and_pumps,16.24322837777778
sports,TEK17,fans_and_pumps,17.6285983125
sports,TEK17,electrical_equipment,2.58
retail,TEK17,cooling,29.89947777777778
retail,TEK17,electrical_equipment,3.743888888888889
school,TEK17,cooling,0.0
school,TEK17,electrical_equipment,12.9
school,TEK17,fans_and_pumps,23.91209403333333
school,TEK17,heating_dhw,9.804166666666667
school,TEK17,heating_rv,46.01008020969308
storage_repairs,TEK17,heating_rv,75.81893646684172
storage_repairs,TEK17,fans_and_pumps,15.11833333333333
university,TEK17,heating_rv,25.59177873258427
nursing_home,TEK17,heating_dhw,29.78416666666667
nursing_home,TEK17,electrical_equipment,23.36
nursing_home,TEK17,cooling,0.0
storage_repairs,TEK17,electrical_equipment,23.49
storage_repairs,TEK17,cooling,14.51195
retail,TEK17,heating_rv,49.66536669467513
retail,TEK17,heating_dhw,10.48333333333333
retail,TEK17,fans_and_pumps,39.77525066666666
nursing_home,TEK17,fans_and_pumps,48.44664545
storage_repairs,TEK17,heating_dhw,10.0225
nursing_home,TEK17,heating_rv,90.03560739873801
hospital,TEK17,fans_and_pumps,43.3837432
hotel,TEK17,cooling,20.92845
apartment_block,TEK17,cooling,0.0
apartment_block,TEK17,electrical_equipment,17.52
apartment_block,TEK17,fans_and_pumps,7.566666666666666
apartment_block,TEK17,heating_dhw,29.76888888888889
apartment_block,TEK17,heating_rv,28.84117055278729
house,TEK17,heating_dhw,29.78125
hotel,TEK17,electrical_equipment,5.84
hotel,TEK17,fans_and_pumps,28.3693625
kindergarten,TEK17,cooling,0.0
hotel,TEK17,heating_dhw,29.78416666666667
culture,TEK17,heating_rv,58.50821023656364
culture,TEK17,heating_dhw,10.0225
culture,TEK17,fans_and_pumps,20.29445719583333
culture,TEK17,electrical_equipment,2.870833333333333
culture,TEK17,cooling,15.93465
hospital,TEK17,heating_dhw,29.76944444444445
house,TEK17,cooling,0.0
house,TEK17,electrical_equipment,17.51875
house,TEK17,heating_rv,47.48088503199805
hotel,TEK17,heating_rv,50.81432489054104
kindergarten,TEK17,electrical_equipment,5.22
house,TEK17,fans_and_pumps,6.407520999999999
hospital,TEK17,electrical_equipment,46.72
hospital,TEK17,cooling,30.77232222222222
kindergarten,TEK17,heating_rv,74.22534704119848
kindergarten,TEK17,fans_and_pumps,22.46678333333334
hospital,TEK17,heating_rv,78.03709182765022
kindergarten,TEK17,heating_dhw,10.02333333333333
hospital,TEK49,electrical_equipment,46.72
school,TEK49,fans_and_pumps,37.48291666666667
school,TEK49,heating_dhw,9.804166666666667
school,TEK49,heating_rv,136.1863403761602
sports,TEK49,cooling,0.0
storage_repairs,TEK49,cooling,18.90083333333333
storage_repairs,TEK49,electrical_equipment,23.49
storage_repairs,TEK49,fans_and_pumps,35.855
storage_repairs,TEK49,heating_dhw,10.0225
storage_repairs,TEK49,heating_rv,181.590147777235
culture,TEK49,cooling,20.7325
office,TEK49,heating_rv,105.7921063344735
office,TEK49,heating_dhw,5.011111111111111
office,TEK49,fans_and_pumps,35.26027777777778
office,TEK49,electrical_equipment,34.45833333333334
office,TEK49,cooling,20.10416666666667
hospital,TEK49,cooling,40.49416666666666
sports,TEK49,heating_rv,184.3206466780654
hotel,TEK49,heating_dhw,29.78416666666667
hotel,TEK49,fans_and_pumps,56.79125
culture,TEK49,heating_rv,154.5310366796936
culture,TEK49,heating_dhw,10.0225
culture,TEK49,fans_and_pumps,38.625
sports,TEK49,heating_dhw,49.02
sports,TEK49,fans_and_pumps,33.8434375
sports,TEK49,electrical_equipment,2.58
kindergarten,TEK49,heating_dhw,10.02333333333333
culture,TEK49,electrical_equipment,2.870833333333333
hospital,TEK49,heating_rv,155.6385640232319
retail,TEK49,heating_dhw,10.48333333333333
retail,TEK49,fans_and_pumps,66.66472222222222
retail,TEK49,electrical_equipment,3.743888888888889
retail,TEK49,cooling,38.99
hospital,TEK49,heating_dhw,29.76944444444445
hospital,TEK49,fans_and_pumps,85.42416666666666
school,TEK49,cooling,0.0
school,TEK49,electrical_equipment,12.9
hotel,TEK49,cooling,27.5625
hotel,TEK49,electrical_equipment,5.84
hotel,TEK49,heating_rv,163.9124000569943
retail,TEK49,heating_rv,131.9547321283182
kindergarten,TEK49,heating_rv,170.3831314118222
house,TEK49,electrical_equipment,17.51875
kindergarten,TEK49,cooling,0.0
university,TEK49,heating_rv,109.2108353688324
university,TEK49,heating_dhw,5.011111111111111
apartment_block,TEK49,heating_rv,126.739738913315
apartment_block,TEK49,heating_dhw,29.76888888888889
university,TEK49,fans_and_pumps,43.66333333333333
university,TEK49,electrical_equipment,34.45833333333334
kindergarten,TEK49,electrical_equipment,5.22
university,TEK49,cooling,25.01861111111111
nursing_home,TEK49,heating_rv,161.3164309558707
nursing_home,TEK49,heating_dhw,29.78416666666667
nursing_home,TEK49,fans_and_pumps,72.5875
nursing_home,TEK49,electrical_equipment,23.36
nursing_home,TEK49,cooling,0.0
apartment_block,TEK49,fans_and_pumps,0.5788888888888889
apartment_block,TEK49,electrical_equipment,17.52
apartment_block,TEK49,cooling,0.0
house,TEK49,cooling,0.0
kindergarten,TEK49,fans_and_pumps,33.95666666666667
house,TEK49,fans_and_pumps,0.58125
house,TEK49,heating_dhw,29.78125
house,TEK49,heating_rv,155.2907120175867
hospital,TEK69,cooling,40.49416666666666
kindergarten,TEK69,cooling,0.0
kindergarten,TEK69,electrical_equipment,5.22
kindergarten,TEK69,fans_and_pumps,33.95666666666667
kindergarten,TEK69,heating_dhw,10.02333333333333
kindergarten,TEK69,heating_rv,170.3831314118222
culture,TEK69,heating_rv,154.5310366796936
culture,TEK69,heating_dhw,10.0225
school,TEK69,heating_rv,136.1863403761602
culture,TEK69,cooling,20.7325
school,TEK69,heating_dhw,9.804166666666667
school,TEK69,fans_and_pumps,37.48291666666667
culture,TEK69,electrical_equipment,2.870833333333333
culture,TEK69,fans_and_pumps,38.625
school,TEK69,electrical_equipment,12.9
hospital,TEK69,electrical_equipment,46.72
hospital,TEK69,fans_and_pumps,85.42416666666666
hospital,TEK69,heating_dhw,29.76944444444445
hospital,TEK69,heating_rv,155.6385640232319
university,TEK69,cooling,25.01861111111111
university,TEK69,fans_and_pumps,43.66333333333333
university,TEK69,electrical_equipment,34.45833333333334
university,TEK69,heating_dhw,5.011111111111111
school,TEK69,cooling,0.0
sports,TEK69,cooling,0.0
sports,TEK69,electrical_equipment,2.58
sports,TEK69,fans_and_pumps,33.8434375
sports,TEK69,heating_dhw,49.02
sports,TEK69,heating_rv,184.3206466780654
university,TEK69,heating_rv,109.2108353688324
retail,TEK69,heating_dhw,10.48333333333333
retail,TEK69,heating_rv,131.9547321283182
retail,TEK69,electrical_equipment,3.743888888888889
apartment_block,TEK69,heating_rv,126.739738913315
house,TEK69,heating_rv,155.2907120175867
house,TEK69,heating_dhw,29.78125
retail,TEK69,fans_and_pumps,66.66472222222222
house,TEK69,electrical_equipment,17.51875
storage_repairs,TEK69,electrical_equipment,23.49
storage_repairs,TEK69,fans_and_pumps,35.855
storage_repairs,TEK69,heating_dhw,10.0225
storage_repairs,TEK69,heating_rv,181.590147777235
office,TEK69,heating_rv,105.7921063344735
office,TEK69,heating_dhw,5.011111111111111
office,TEK69,fans_and_pumps,35.26027777777778
office,TEK69,electrical_equipment,34.45833333333334
office,TEK69,cooling,20.10416666666667
house,TEK69,cooling,0.0
apartment_block,TEK69,heating_dhw,29.76888888888889
apartment_block,TEK69,fans_and_pumps,0.5788888888888889
house,TEK69,fans_and_pumps,0.58125
apartment_block,TEK69,cooling,0.0
retail,TEK69,cooling,38.99
nursing_home,TEK69,cooling,0.0
nursing_home,TEK69,electrical_equipment,23.36
nursing_home,TEK69,fans_and_pumps,72.5875
nursing_home,TEK69,heating_dhw,29.78416666666667
apartment_block,TEK69,electrical_equipment,17.52
hotel,TEK69,cooling,27.5625
hotel,TEK69,electrical_equipment,5.84
nursing_home,TEK69,heating_rv,161.3164309558707
storage_repairs,TEK69,cooling,18.90083333333333
hotel,TEK69,heating_rv,163.9124000569943
hotel,TEK69,heating_dhw,29.78416666666667
hotel,TEK69,fans_and_pumps,56.79125
storage_repairs,TEK87,heating_rv,143.3973656570591
storage_repairs,TEK87,heating_dhw,10.0225
storage_repairs,TEK87,fans_and_pumps,35.77833333333334
storage_repairs,TEK87,electrical_equipment,23.49
storage_repairs,TEK87,cooling,18.90083333333333
culture,TEK87,heating_rv,129.2101722032242
culture,TEK87,heating_dhw,10.0225
culture,TEK87,fans_and_pumps,38.625
culture,TEK87,electrical_equipment,2.870833333333333
culture,TEK87,cooling,20.7325
apartment_block,TEK87,heating_dhw,29.76888888888889
sports,TEK87,fans_and_pumps,33.8409375
apartment_block,TEK87,heating_rv,103.5833854421104
apartment_block,TEK87,electrical_equipment,17.52
apartment_block,TEK87,fans_and_pumps,0.53
university,TEK87,heating_dhw,5.011111111111111
university,TEK87,fans_and_pumps,43.63555555555556
university,TEK87,electrical_equipment,34.45833333333334
university,TEK87,cooling,25.01861111111111
sports,TEK87,cooling,0.0
sports,TEK87,electrical_equipment,2.58
sports,TEK87,heating_rv,151.8904143258427
sports,TEK87,heating_dhw,49.02
apartment_block,TEK87,cooling,0.0
university,TEK87,heating_rv,88.89531550236114
hospital,TEK87,cooling,40.49416666666666
hospital,TEK87,heating_rv,133.4459607555776
nursing_home,TEK87,heating_rv,134.6715500325683
hotel,TEK87,cooling,27.5625
hotel,TEK87,heating_rv,136.55572728383
retail,TEK87,cooling,38.99
retail,TEK87,electrical_equipment,3.743888888888889
nursing_home,TEK87,heating_dhw,29.78416666666667
house,TEK87,heating_rv,123.2885808500244
hotel,TEK87,electrical_equipment,5.84
house,TEK87,heating_dhw,29.78125
house,TEK87,electrical_equipment,17.51875
house,TEK87,cooling,0.0
office,TEK87,cooling,20.10416666666667
nursing_home,TEK87,cooling,0.0
nursing_home,TEK87,electrical_equipment,23.36
nursing_home,TEK87,fans_and_pumps,72.54291666666667
retail,TEK87,heating_rv,110.8168323562935
house,TEK87,fans_and_pumps,0.58125
hotel,TEK87,fans_and_pumps,56.76125
retail,TEK87,fans_and_pumps,66.6225
hospital,TEK87,heating_dhw,29.76944444444445
office,TEK87,electrical_equipment,34.45833333333334
office,TEK87,fans_and_pumps,35.24083333333333
office,TEK87,heating_dhw,5.011111111111111
kindergarten,TEK87,cooling,0.0
kindergarten,TEK87,electrical_equipment,5.22
kindergarten,TEK87,fans_and_pumps,33.95666666666667
kindergarten,TEK87,heating_dhw,10.02333333333333
kindergarten,TEK87,heating_rv,138.9320403843025
office,TEK87,heating_rv,85.77883515171254
hotel,TEK87,heating_dhw,29.78416666666667
school,TEK87,heating_rv,111.1394758589803
school,TEK87,heating_dhw,9.804166666666667
school,TEK87,fans_and_pumps,37.48291666666667
school,TEK87,electrical_equipment,12.9
school,TEK87,cooling,0.0
hospital,TEK87,electrical_equipment,46.72
hospital,TEK87,fans_and_pumps,85.38527777777777
retail,TEK87,heating_dhw,10.48333333333333
school,TEK97,heating_rv,92.0552456847422
storage_repairs,TEK97,heating_dhw,10.0225
nursing_home,TEK97,heating_rv,114.275464297346
storage_repairs,TEK97,heating_rv,114.1542354665364
storage_repairs,TEK97,fans_and_pumps,35.745
storage_repairs,TEK97,electrical_equipment,23.49
storage_repairs,TEK97,cooling,18.90083333333333
hotel,TEK97,heating_rv,115.4664710552027
hotel,TEK97,heating_dhw,29.78416666666667
nursing_home,TEK97,heating_dhw,29.78416666666667
nursing_home,TEK97,fans_and_pumps,72.51
university,TEK97,heating_dhw,5.011111111111111
nursing_home,TEK97,cooling,0.0
house,TEK97,cooling,0.0
house,TEK97,electrical_equipment,17.51875
house,TEK97,fans_and_pumps,0.58125
house,TEK97,heating_dhw,29.78125
house,TEK97,heating_rv,89.65613092330238
kindergarten,TEK97,heating_rv,111.3845937143784
kindergarten,TEK97,heating_dhw,10.02333333333333
kindergarten,TEK97,fans_and_pumps,33.95666666666667
kindergarten,TEK97,electrical_equipment,5.22
kindergarten,TEK97,cooling,0.0
university,TEK97,cooling,25.01861111111111
university,TEK97,electrical_equipment,34.45833333333334
university,TEK97,fans_and_pumps,43.63027777777778
nursing_home,TEK97,electrical_equipment,23.36
hotel,TEK97,fans_and_pumps,56.73875
office,TEK97,fans_and_pumps,35.24055555555556
office,TEK97,cooling,20.10416666666667
sports,TEK97,cooling,0.0
hotel,TEK97,electrical_equipment,5.84
retail,TEK97,heating_dhw,10.48333333333333
retail,TEK97,heating_rv,94.27676084242512
hospital,TEK97,heating_rv,116.1030174238726
hospital,TEK97,heating_dhw,29.76944444444445
hospital,TEK97,fans_and_pumps,85.38
hospital,TEK97,electrical_equipment,46.72
sports,TEK97,electrical_equipment,2.58
hospital,TEK97,cooling,40.49416666666666
school,TEK97,electrical_equipment,12.9
school,TEK97,fans_and_pumps,37.46333333333333
culture,TEK97,cooling,20.7325
culture,TEK97,electrical_equipment,2.870833333333333
culture,TEK97,fans_and_pumps,38.625
culture,TEK97,heating_dhw,10.0225
culture,TEK97,heating_rv,109.953029433317
school,TEK97,heating_dhw,9.804166666666667
school,TEK97,cooling,0.0
sports,TEK97,fans_and_pumps,33.756875
retail,TEK97,fans_and_pumps,66.60583333333334
sports,TEK97,heating_rv,126.220019388129
office,TEK97,electrical_equipment,34.45833333333334
office,TEK97,heating_dhw,5.011111111111111
office,TEK97,heating_rv,70.07203767030344
hotel,TEK97,cooling,27.5625
apartment_block,TEK97,cooling,0.0
apartment_block,TEK97,electrical_equipment,17.52
apartment_block,TEK97,fans_and_pumps,0.4333333333333333
sports,TEK97,heating_dhw,49.02
apartment_block,TEK97,heating_dhw,29.76888888888889
university,TEK97,heating_rv,73.011425120773
retail,TEK97,electrical_equipment,3.743888888888889
retail,TEK97,cooling,38.99
apartment_block,TEK97,heating_rv,77.67867176898444
hospital,default,lighting,42.048
house,default,lighting,8.199
sports,default,lighting,18.576
storage_repairs,default,lighting,16.912500000000005
kindergarten,default,lighting,18.792
office,default,lighting,22.5505
apartment_block,default,lighting,8.196800000000001
culture,default,lighting,20.671125000000004
university,default,lighting,22.5505
school,default,lighting,19.35
nursing_home,default,lighting,42.048
hotel,default,lighting,42.048
retail,default,lighting,50.20075
office,TEK30,cooling,15.44310555555556
university,TEK30,cooling,19.2249
sports,TEK30,cooling,0.0
office,TEK30,heating_rv,25.89288134147665
office,TEK30,electrical_equipment,34.45833333333334
university,TEK30,electrical_equipment,34.45833333333334
sports,TEK30,heating_dhw,49.02
sports,TEK30,heating_rv,54.79322499007694
office,TEK30,heating_dhw,5.011111111111111
university,TEK30,heating_dhw,5.011111111111111
university,TEK30,fans_and_pumps,19.49136035
office,TEK30,fans_and_pumps,16.24322837777778
sports,TEK30,fans_and_pumps,17.6285983125
sports,TEK30,electrical_equipment,2.58
retail,TEK30,cooling,29.89947777777778
retail,TEK30,electrical_equipment,3.743888888888889
school,TEK30,cooling,0.0
school,TEK30,electrical_equipment,12.9
school,TEK30,fans_and_pumps,23.91209403333333
school,TEK30,heating_dhw,9.804166666666667
school,TEK30,heating_rv,46.01008020969308
storage_repairs,TEK30,heating_rv,75.81893646684172
storage_repairs,TEK30,fans_and_pumps,15.11833333333333
university,TEK30,heating_rv,25.59177873258427
nursing_home,TEK30,heating_dhw,29.78416666666667
nursing_home,TEK30,electrical_equipment,23.36
nursing_home,TEK30,cooling,0.0
storage_repairs,TEK30,electrical_equipment,23.49
storage_repairs,TEK30,cooling,14.51195
retail,TEK30,heating_rv,49.66536669467513
retail,TEK30,heating_dhw,10.48333333333333
retail,TEK30,fans_and_pumps,39.77525066666666
nursing_home,TEK30,fans_and_pumps,48.44664545
storage_repairs,TEK30,heating_dhw,10.0225
nursing_home,TEK30,heating_rv,90.03560739873801
hospital,TEK30,fans_and_pumps,43.3837432
hotel,TEK30,cooling,20.92845
apartment_block,TEK30,cooling,0.0
apartment_block,TEK30,electrical_equipment,17.52
apartment_block,TEK30,fans_and_pumps,7.566666666666666
apartment_block,TEK30,heating_dhw,29.76888888888889
apartment_block,TEK30,heating_rv,28.84117055278729
house,TEK30,heating_dhw,29.78125
hotel,TEK30,electrical_equipment,5.84
hotel,TEK30,fans_and_pumps,28.3693625
kindergarten,TEK30,cooling,0.0
hotel,TEK30,heating_dhw,29.78416666666667
culture,TEK30,heating_rv,58.50821023656364
culture,TEK30,heating_dhw,10.0225
culture,TEK30,fans_and_pumps,20.29445719583333
culture,TEK30,electrical_equipment,2.870833333333333
culture,TEK30,cooling,15.93465
hospital,TEK30,heating_dhw,29.76944444444445
house,TEK30,cooling,0.0
house,TEK30,electrical_equipment,17.51875
house,TEK30,heating_rv,47.48088503199805
hotel,TEK30,heating_rv,50.81432489054104
kindergarten,TEK30,electrical_equipment,5.22
house,TEK30,fans_and_pumps,6.407520999999999
hospital,TEK30,electrical_equipment,46.72
hospital,TEK30,cooling,30.77232222222222
kindergarten,TEK30,heating_rv,74.22534704119848
kindergarten,TEK30,fans_and_pumps,22.46678333333334
hospital,TEK30,heating_rv,78.03709182765022
kindergarten,TEK30,heating_dhw,10.02333333333333
